,time,MPL,MOAS_prefix_num,MOAS_AS,MOAS,new_MOAS,MOAS_num,withdraw_num,peer_increase,peer_num,new_prefix_num,MOAS_Ann_num,own_Ann_num,new_sub_prefix,Victim_AS,Diff_Ann,duplicate_ann,withdraw_unique_prefix_num,withdraw_unique_prefix,label_0,label_1,label_2,label_3,diff_1,len_path3,len_path2,ann_shorter_1,ann_longer_1,len_path4,len_path5,diff_2,ann_longer_0
1587735480.0,2020-04-24 13:38:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587735540.0,2020-04-24 13:39:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587735600.0,2020-04-24 13:40:00,3,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,3,set(),18106,1,2,0,set(),0,0,0,0,1.0,1.0,,,1.0,,,,
1587735660.0,2020-04-24 13:41:00,2,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,3,set(),18106,1,2,0,set(),0,0,0,0,1.0,,1.0,1.0,,,,,
1587735720.0,2020-04-24 13:42:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587735780.0,2020-04-24 13:43:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587735840.0,2020-04-24 13:44:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587735900.0,2020-04-24 13:45:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587735960.0,2020-04-24 13:46:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587736020.0,2020-04-24 13:47:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587736080.0,2020-04-24 13:48:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587736140.0,2020-04-24 13:49:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587736200.0,2020-04-24 13:50:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587736260.0,2020-04-24 13:51:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587736320.0,2020-04-24 13:52:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587736380.0,2020-04-24 13:53:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587736440.0,2020-04-24 13:54:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587736500.0,2020-04-24 13:55:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587736560.0,2020-04-24 13:56:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587736620.0,2020-04-24 13:57:00,3,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,2,set(),18106,1,1,0,set(),0,0,0,0,1.0,1.0,,,1.0,,,,
1587736680.0,2020-04-24 13:58:00,2,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,2,set(),18106,1,1,0,set(),0,0,0,0,1.0,,1.0,1.0,,,,,
1587736740.0,2020-04-24 13:59:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
